,pm,stator_tooth,stator_yoke,stator_winding
42,-1.9842811,-1.0832131,-1.2551622,-0.6878462
43,-1.9828856,-1.0857897,-1.2573055,-0.69087446
44,-2.0011764,-1.1010513,-1.2683138,-0.7073355
45,-2.0153518,-1.1133578,-1.2773411,-0.7204981
46,-2.021392,-1.1203179,-1.282613,-0.728029
47,-2.022457,-1.1255434,-1.2869737,-0.7337878
48,-2.021215,-1.1291497,-1.2902256,-0.73772454
49,-1.9942695,-1.115711,-1.2815081,-0.72375226
50,-1.9992278,-1.1168813,-1.2820042,-0.7248716
51,-1.9988945,-1.1159616,-1.2812334,-0.7239015
52,-1.996855,-1.1130512,-1.2787893,-0.7209194
53,-1.9956882,-1.1093332,-1.2757151,-0.71686304
54,-1.9929208,-1.1057289,-1.2729615,-0.7130069
55,-1.9686108,-1.0899804,-1.2619288,-0.69630694
56,-1.9695187,-1.0898598,-1.2617282,-0.6962004
57,-1.9717722,-1.0888958,-1.2607436,-0.6951091
58,-1.9705092,-1.0850285,-1.2575052,-0.6909328
59,-1.9683919,-1.0820088,-1.255128,-0.6877087
60,-1.9647214,-1.0785542,-1.2524815,-0.68404174
61,-1.9383777,-1.0637153,-1.2422521,-0.6687609
62,-1.9399986,-1.065305,-1.2435738,-0.6703257
63,-1.9385006,-1.0672092,-1.2454057,-0.67235875
64,-1.9343293,-1.0684559,-1.2471335,-0.67368287
65,-1.9312415,-1.070433,-1.2491332,-0.67588365
66,-1.9266088,-1.0712157,-1.250416,-0.67680204
67,-1.9005792,-1.0590105,-1.2426292,-0.6642074
68,-1.8989998,-1.0591898,-1.2430452,-0.6644325
69,-1.8993413,-1.0604482,-1.2440684,-0.6658365
70,-1.8977492,-1.0608544,-1.2446034,-0.66637754
71,-1.8946438,-1.0592713,-1.2435889,-0.66472304
72,-1.8907573,-1.0567197,-1.2418592,-0.6620241
73,-1.8675191,-1.0437975,-1.2333107,-0.64847434
74,-1.8612466,-1.0374252,-1.228626,-0.6415956
75,-1.8663273,-1.0368142,-1.2275082,-0.6408025
76,-1.8675032,-1.0346711,-1.2255591,-0.63845253
77,-1.867993,-1.0319483,-1.223186,-0.6354201
78,-1.8653748,-1.0277252,-1.2198297,-0.63091886
79,-1.8542278,-1.0182515,-1.2126312,-0.62119466
80,-1.8401393,-1.0077839,-1.2050741,-0.6103977
81,-1.8433827,-1.007762,-1.204606,-0.61044526
82,-1.8418581,-1.0086191,-1.2054405,-0.6113609
83,-1.8380833,-1.0104846,-1.207636,-0.61314875
84,-1.8328469,-1.0112519,-1.2091162,-0.61384785
85,-1.820904,-1.0090975,-1.208633,-0.61175716
86,-1.7968967,-0.9998912,-1.2036424,-0.60210544
87,-1.7955312,-1.0035696,-1.2071556,-0.60583985
88,-1.791228,-1.0041878,-1.2084671,-0.606192
89,-1.7896862,-1.0039815,-1.2084057,-0.6059967
90,-1.7849493,-1.0010756,-1.206566,-0.60280156
91,-1.7808737,-0.9984871,-1.2049316,-0.59992856
92,-1.7559004,-0.9826915,-1.1946199,-0.58261764
93,-1.760858,-0.9838371,-1.1947193,-0.58413297
94,-1.7670592,-0.9829928,-1.1929821,-0.5836108
95,-1.7694864,-0.9818536,-1.1914971,-0.5826535
96,-1.7688643,-0.9794699,-1.1894313,-0.5802547
97,-1.7678477,-0.97637594,-1.1867077,-0.57707995
98,-1.7444617,-0.95947766,-1.1750335,-0.55899215
99,-1.7475834,-0.9591463,-1.1740603,-0.55888206
100,-1.7495828,-0.95844805,-1.1729661,-0.55836284
101,-1.7476864,-0.9568815,-1.1718755,-0.556685
102,-1.7439927,-0.9571012,-1.1726655,-0.55674124
103,-1.7406133,-0.95772886,-1.1738917,-0.5571863
104,-1.7155282,-0.9453096,-1.1668487,-0.54311466
105,-1.7148767,-0.94845414,-1.1699324,-0.54610205
106,-1.7104789,-0.9501183,-1.1721557,-0.5475138
107,-1.7078745,-0.95319384,-1.1753262,-0.5504637
108,-1.7068887,-0.95408225,-1.1764572,-0.551173
109,-1.7025644,-0.9530825,-1.1763496,-0.5498821
110,-1.677201,-0.9383445,-1.1671723,-0.5335743
111,-1.6809449,-0.9387925,-1.1668731,-0.5343112
112,-1.681725,-0.93630326,-1.1644514,-0.53192943
113,-1.6843245,-0.93482184,-1.1626712,-0.5306546
114,-1.6843276,-0.9328236,-1.1609508,-0.5285879
115,-1.6797688,-0.9300816,-1.1591933,-0.5256268
116,-1.6559279,-0.9142418,-1.1486979,-0.50842506
117,-1.659495,-0.91414773,-1.1478319,-0.5087352
118,-1.6640472,-0.9133104,-1.1460278,-0.5084403
119,-1.6652077,-0.91226274,-1.1448358,-0.50758624
120,-1.6662464,-0.9113762,-1.1439023,-0.5067593
121,-1.664921,-0.9103131,-1.143173,-0.50563437
122,-1.6379395,-0.89518476,-1.13386,-0.48893145
123,-1.6420727,-0.89858186,-1.1366135,-0.49230057
124,-1.642349,-0.9015113,-1.1393934,-0.49509346
125,-1.6411124,-0.90336776,-1.1414135,-0.49668968
126,-1.6371752,-0.90292454,-1.141765,-0.49591106
127,-1.637035,-0.9039446,-1.142909,-0.4967897
128,-1.6092054,-0.8888465,-1.1337645,-0.47999978
129,-1.6106141,-0.8916997,-1.136208,-0.48283815
130,-1.6125456,-0.8941385,-1.1382835,-0.48521036
131,-1.6142726,-0.8951776,-1.1389309,-0.4863658
132,-1.6133877,-0.8934523,-1.1372864,-0.48484895
133,-1.6132615,-0.89144266,-1.1353003,-0.48303545
134,-1.5907121,-0.87581813,-1.1246505,-0.46614975
135,-1.5961123,-0.8776188,-1.1254656,-0.46828717
136,-1.5970587,-0.8781437,-1.1256695,-0.4689884
137,-1.6015449,-0.87772965,-1.1243521,-0.46908134
138,-1.6023602,-0.8761947,-1.1225458,-0.4678725
139,-1.601782,-0.8737753,-1.1200968,-0.4657358
140,-1.5751812,-0.8564819,-1.1081226,-0.44758373
141,-1.5800745,-0.8594303,-1.1100154,-0.45081675
142,-1.5831255,-0.86249673,-1.1125301,-0.45380616
143,-1.5815399,-0.8628252,-1.1132408,-0.45383584
144,-1.5812991,-0.8649905,-1.1156136,-0.45555764
145,-1.5777755,-0.8657132,-1.1172292,-0.45567903
146,-1.5478401,-0.8493415,-1.1072975,-0.43750474
147,-1.5519258,-0.8533037,-1.1105345,-0.44140613
148,-1.5557333,-0.8573226,-1.1136231,-0.44546637
149,-1.5571427,-0.8584816,-1.1146162,-0.446533
150,-1.556121,-0.8583381,-1.1146054,-0.44629902
151,-1.5555156,-0.85727406,-1.1136899,-0.44531968
152,-1.5286274,-0.8392362,-1.1013459,-0.42591587
153,-1.5335464,-0.840843,-1.1020026,-0.42797133
154,-1.5370898,-0.8427061,-1.1030573,-0.43013585
155,-1.5403178,-0.8428096,-1.1023831,-0.43074647
156,-1.5420067,-0.84136117,-1.1001863,-0.4299898
157,-1.5415006,-0.8381821,-1.0968187,-0.4273851
158,-1.5190095,-0.82160807,-1.0848991,-0.4099795
159,-1.5199094,-0.8197358,-1.0826783,-0.40864816
160,-1.5231689,-0.8213149,-1.083341,-0.41063023
161,-1.5245488,-0.8223999,-1.0841187,-0.41176704
162,-1.5243082,-0.82418895,-1.0861661,-0.4130797
163,-1.5229139,-0.826033,-1.08856,-0.4141979
164,-1.5009872,-0.8159565,-1.0832772,-0.40235117
165,-1.4950007,-0.8139008,-1.0829647,-0.39930218
166,-1.4994931,-0.81891334,-1.0871675,-0.40414244
167,-1.4977003,-0.81998074,-1.0886619,-0.40485984
168,-1.4977543,-0.8206967,-1.0893784,-0.40551633
169,-1.4980702,-0.82071745,-1.0893165,-0.40561333
170,-1.4852245,-0.81082535,-1.0822614,-0.3950557
171,-1.4769338,-0.8031352,-1.0765913,-0.38705015
172,-1.4822783,-0.8065851,-1.0787565,-0.39090183
173,-1.48361,-0.8068579,-1.078685,-0.3914265
174,-1.4833914,-0.8050727,-1.0767294,-0.39010864
175,-1.4844,-0.80457884,-1.0758295,-0.39002776
176,-1.4801353,-0.80115414,-1.072865,-0.38686284
177,-1.4625256,-0.78815806,-1.0635017,-0.37352356
178,-1.4689264,-0.7898706,-1.0634543,-0.37619403
179,-1.4706963,-0.788622,-1.061509,-0.37570277
180,-1.4714599,-0.78834254,-1.0609246,-0.37572283
181,-1.4717382,-0.7884668,-1.0609806,-0.37583375
182,-1.4689591,-0.78856087,-1.0618429,-0.3753633
183,-1.445522,-0.7770669,-1.0557356,-0.3621002
184,-1.4470319,-0.7806192,-1.0594181,-0.3649047
185,-1.4489428,-0.7829915,-1.0614833,-0.3670561
186,-1.4494374,-0.78333634,-1.0617731,-0.36737555
187,-1.4477339,-0.7829314,-1.0618931,-0.36663306
188,-1.4473549,-0.7834363,-1.0627209,-0.36676013
189,-1.4254167,-0.77010834,-1.0542457,-0.35224247
190,-1.4299934,-0.7729637,-1.0560694,-0.35531616
191,-1.4314777,-0.77404,-1.0568672,-0.35638872
192,-1.4334068,-0.7752617,-1.0576005,-0.35774383
193,-1.4334378,-0.7740182,-1.0559137,-0.35715145
194,-1.4324011,-0.771109,-1.0528035,-0.35508332
195,-1.4087076,-0.7545097,-1.0412279,-0.3377981
196,-1.4134505,-0.75607175,-1.0416315,-0.33993554
197,-1.4166393,-0.7562295,-1.0409194,-0.34067363
198,-1.4165517,-0.7553925,-1.0400624,-0.33999908
199,-1.4174385,-0.7553076,-1.039774,-0.3400756
200,-1.4166155,-0.75465554,-1.0391277,-0.33954567
201,-1.3929325,-0.7397726,-1.029737,-0.32331818
202,-1.3992234,-0.74465835,-1.0333552,-0.3282065
203,-1.3999755,-0.74745053,-1.0362055,-0.33048928
204,-1.4006219,-0.74979717,-1.0386443,-0.33232158
205,-1.3988078,-0.7506324,-1.0398617,-0.33272415
206,-1.3987223,-0.7513557,-1.040798,-0.33313143
207,-1.373593,-0.7357942,-1.0308526,-0.31632024
208,-1.3764089,-0.7389537,-1.0334864,-0.31920612
209,-1.3789558,-0.74127483,-1.0353525,-0.32136497
210,-1.3801458,-0.74295115,-1.0368556,-0.32285106
211,-1.3799583,-0.74361557,-1.0377436,-0.32317796
212,-1.3776708,-0.7419087,-1.0364122,-0.32154188
213,-1.3523929,-0.7249139,-1.0247123,-0.30415326
214,-1.3592606,-0.7273698,-1.0254204,-0.30744165
215,-1.3618557,-0.7267705,-1.0241408,-0.3075065
216,-1.3620076,-0.72550917,-1.0225302,-0.3068205
217,-1.3623388,-0.7247828,-1.0215168,-0.30649698
218,-1.3611892,-0.7233368,-1.0201691,-0.30531293
219,-1.3348042,-0.7065984,-1.0091717,-0.28775513
220,-1.3405832,-0.70986325,-1.011101,-0.29135454
221,-1.343377,-0.71112525,-1.011717,-0.29283434
222,-1.347125,-0.7130865,-1.0129426,-0.29492122
223,-1.3477131,-0.71537185,-1.0152931,-0.29664394
224,-1.3458283,-0.7168672,-1.0173794,-0.29737282
225,-1.3203996,-0.7021205,-1.0085788,-0.28118432
226,-1.3271478,-0.70725703,-1.0123627,-0.28624856
227,-1.3291519,-0.70945716,-1.0143559,-0.28812444
228,-1.3308276,-0.7112472,-1.0157723,-0.28983518
229,-1.331161,-0.7113777,-1.015866,-0.28995833
230,-1.3283781,-0.7098319,-1.0149505,-0.28827223
231,-1.3049617,-0.6952157,-1.0055525,-0.27279174
232,-1.3105512,-0.69757867,-1.0065732,-0.27568218
233,-1.3132213,-0.69816595,-1.0063963,-0.2767378
234,-1.3130763,-0.69838333,-1.0057693,-0.27808648
235,-1.312054,-0.6962962,-1.0036519,-0.2763739
236,-1.3123348,-0.6951036,-1.002374,-0.27539533
237,-1.2852507,-0.67701125,-0.9901141,-0.25659004
238,-1.2924033,-0.6790092,-0.99021405,-0.25967532
239,-1.2942386,-0.6764222,-0.98683864,-0.25819048
240,-1.2966182,-0.6767035,-0.9864539,-0.2588933
241,-1.298238,-0.67859316,-0.9881505,-0.26048928
242,-1.2968987,-0.6786674,-0.98868144,-0.26018807
243,-1.2704403,-0.6650464,-0.98096454,-0.2450853
244,-1.2754824,-0.6697491,-0.9851981,-0.24892336
245,-1.2822458,-0.67630804,-0.99079704,-0.2547288
246,-1.2818252,-0.67814606,-0.99300754,-0.2558815
247,-1.2822417,-0.6791849,-0.9943321,-0.2564376
248,-1.2785163,-0.67861384,-0.9945838,-0.2553473
249,-1.2501442,-0.66209835,-0.9846926,-0.23711011
250,-1.2572942,-0.6657618,-0.9868852,-0.24109048
251,-1.2619797,-0.667778,-0.98751694,-0.24383134
252,-1.2653818,-0.66900563,-0.98781955,-0.24556172
253,-1.261809,-0.67003775,-0.9882535,-0.24778774
254,-1.258871,-0.6729924,-0.99005896,-0.25230128
255,-1.2304468,-0.6549705,-0.9777782,-0.2338663
256,-1.2357813,-0.6555734,-0.9768103,-0.23568115
257,-1.238965,-0.6563525,-0.97589135,-0.23815708
258,-1.2397319,-0.65461504,-0.9730663,-0.2379777
259,-1.2406925,-0.65432286,-0.97180593,-0.23880768
260,-1.2417686,-0.65409577,-0.97159594,-0.23841724
261,-1.2201726,-0.64006805,-0.96237314,-0.22361922
262,-1.2174964,-0.6398075,-0.96279573,-0.22296861
263,-1.2205818,-0.6454224,-0.96757394,-0.22836818
264,-1.2215782,-0.6487464,-0.9704218,-0.23153016
265,-1.2222545,-0.65240407,-0.974171,-0.23438787
266,-1.2264109,-0.65563256,-0.977707,-0.23606578
267,-1.212392,-0.64554745,-0.97206485,-0.22380815
268,-1.2047681,-0.6397513,-0.9690833,-0.21640693
269,-1.2122889,-0.64364743,-0.9717312,-0.2200591
270,-1.2169132,-0.6458664,-0.97278976,-0.22270891
271,-1.2173274,-0.64521307,-0.97185975,-0.22247005
272,-1.2172061,-0.64364827,-0.9700679,-0.22146273
273,-1.2088982,-0.63804674,-0.96602404,-0.21594629
274,-1.1905882,-0.6245304,-0.9567573,-0.20179394
275,-1.1969099,-0.6264936,-0.9572472,-0.20433551
276,-1.2001827,-0.6255571,-0.95567316,-0.20393783
277,-1.2017238,-0.6246623,-0.9543512,-0.20349321
278,-1.2008504,-0.6210716,-0.9504651,-0.20092326
279,-1.1974757,-0.6173499,-0.94624954,-0.19895652
280,-1.1714203,-0.60258293,-0.93639624,-0.18413323
281,-1.1770482,-0.6064801,-0.93926615,-0.18790178
282,-1.1809055,-0.6113133,-0.9436723,-0.19200921
283,-1.182877,-0.6150388,-0.9473696,-0.19489126
284,-1.1849015,-0.6182566,-0.9504031,-0.19748875
285,-1.1849079,-0.6196412,-0.95225716,-0.19805488
286,-1.1540841,-0.60915786,-0.94687605,-0.18775591
287,-1.153522,-0.61823124,-0.95426774,-0.19787544
288,-1.1578182,-0.6180212,-0.95427215,-0.196648
289,-1.160397,-0.61797744,-0.9542513,-0.19605857
290,-1.1630988,-0.6169915,-0.9532373,-0.19476238
291,-1.1636149,-0.6137668,-0.9507019,-0.19103876
292,-1.1431999,-0.5990772,-0.9410572,-0.17516908
293,-1.1469349,-0.6041895,-0.9447908,-0.18072821
294,-1.1467941,-0.6051346,-0.9452459,-0.18229261
295,-1.1483417,-0.6034417,-0.9430105,-0.18128578
296,-1.146446,-0.6010742,-0.9400204,-0.18045759
297,-1.1437837,-0.59841704,-0.93690765,-0.1791177
298,-1.1172957,-0.5773469,-0.9219383,-0.15741411
299,-1.1255063,-0.5787335,-0.9218842,-0.15920082
300,-1.1322104,-0.5793724,-0.92135215,-0.16009971
301,-1.1353779,-0.5787411,-0.92023015,-0.15956102
302,-1.1365623,-0.57909364,-0.9206232,-0.15951946
303,-1.1401052,-0.5834001,-0.92484057,-0.1627317
304,-1.1162734,-0.57028896,-0.9177811,-0.1474994
305,-1.1250926,-0.5770713,-0.92325425,-0.15355262
306,-1.1264904,-0.57999134,-0.92615944,-0.15585634
307,-1.1261053,-0.58297795,-0.9292199,-0.15842146
308,-1.1249849,-0.58413315,-0.9306384,-0.1593287
309,-1.1255546,-0.5841718,-0.93045557,-0.15951133
310,-1.1018685,-0.5682217,-0.91965604,-0.14294142
311,-1.1063516,-0.5731576,-0.92302555,-0.14867511
312,-1.103328,-0.57154375,-0.92163897,-0.14739309
313,-1.1012582,-0.5712505,-0.9209864,-0.14790732
314,-1.095931,-0.57088363,-0.9199212,-0.14966014
315,-1.0896949,-0.57279336,-0.9200541,-0.15463813
316,-1.0612628,-0.5616344,-0.9122438,-0.14485927
317,-1.0662147,-0.565816,-0.91322005,-0.15129028
318,-1.0697842,-0.5644669,-0.91014576,-0.15150636
319,-1.0755657,-0.56482744,-0.9084865,-0.15333676
320,-1.0779705,-0.5626713,-0.9059879,-0.1515494
321,-1.0775139,-0.56185263,-0.905588,-0.15043801
322,-1.0504353,-0.5480507,-0.8980178,-0.13482153
323,-1.0580552,-0.55486065,-0.9043198,-0.14041196
324,-1.0668085,-0.5632183,-0.9123298,-0.14703348
325,-1.0696478,-0.56765914,-0.91704863,-0.15025343
326,-1.0681044,-0.56980664,-0.92020607,-0.15133205
327,-1.0659466,-0.5718657,-0.9233749,-0.15212193
328,-1.0395584,-0.55435526,-0.91303563,-0.13222227
329,-1.0451653,-0.560779,-0.9166895,-0.13993576
330,-1.0462149,-0.5642402,-0.9182793,-0.14470746
331,-1.0477407,-0.5664367,-0.91937554,-0.14761236
332,-1.0467749,-0.56695706,-0.9188324,-0.14913882
333,-1.0505781,-0.5660703,-0.91718996,-0.14877397
334,-1.0274,-0.54754895,-0.9044202,-0.12929627
335,-1.0334415,-0.55082965,-0.9054663,-0.13388012
336,-1.0345218,-0.5517479,-0.90448534,-0.13646519
337,-1.0352893,-0.5500474,-0.9021071,-0.13562265
338,-1.035131,-0.5475241,-0.89864,-0.13449392
339,-1.0336509,-0.5426284,-0.8935196,-0.13070437
340,-1.0094401,-0.52342916,-0.88066626,-0.110027105
341,-1.0149361,-0.52395034,-0.8817338,-0.10926922
342,-1.0215585,-0.528019,-0.8857037,-0.112067096
343,-1.0216008,-0.53036606,-0.8889694,-0.11309853
344,-1.024822,-0.53671753,-0.8954592,-0.118235275
345,-1.0271381,-0.54088354,-0.8999716,-0.12134272
346,-0.9988087,-0.5239892,-0.8905059,-0.10185317
347,-1.004465,-0.52749765,-0.89346325,-0.104958504
348,-1.0107445,-0.5296116,-0.89462245,-0.107052
349,-1.0123712,-0.5330514,-0.897207,-0.110864565
350,-1.0058755,-0.5344549,-0.8981204,-0.112946995
351,-1.0005134,-0.53459036,-0.897803,-0.1139202
352,-0.97202265,-0.5139427,-0.8846866,-0.09117934
353,-0.98031837,-0.51212305,-0.88294196,-0.08893253
354,-0.9862722,-0.5124706,-0.88157845,-0.09031892
355,-0.99011815,-0.51249605,-0.88024974,-0.09114277
356,-0.9893086,-0.5086441,-0.8756388,-0.08850479
357,-0.9911014,-0.50429887,-0.86948055,-0.08603649
358,-0.97116023,-0.48833978,-0.8561094,-0.07151987
359,-0.9696498,-0.48747873,-0.85439503,-0.07197538
360,-0.9667618,-0.48989317,-0.8565279,-0.07511484
361,-0.9661771,-0.4909014,-0.8576261,-0.07604036
362,-0.96734107,-0.49224913,-0.85930336,-0.07673496
363,-0.9650312,-0.49293607,-0.86200833,-0.07538315
364,-0.9463322,-0.48485494,-0.8596142,-0.06437403
365,-0.94519186,-0.48614064,-0.86269146,-0.06376539
366,-0.9494306,-0.4908748,-0.8677754,-0.06706851
367,-0.9507443,-0.49600497,-0.8721535,-0.07206468
368,-0.95844644,-0.49919432,-0.8755551,-0.07398089
369,-0.96069515,-0.4969473,-0.87431014,-0.07067838
370,-0.95164806,-0.48752117,-0.8664117,-0.06159579
371,-0.94569147,-0.48140723,-0.86103606,-0.055925533
372,-0.9512182,-0.48490548,-0.86320496,-0.05981937
373,-0.9479942,-0.48643786,-0.8647077,-0.061726063
374,-0.9476487,-0.4852648,-0.86247706,-0.061855756
375,-0.9455495,-0.48234117,-0.8581014,-0.060971662
376,-0.93346494,-0.47658315,-0.8525107,-0.057175405
377,-0.91878825,-0.46630532,-0.8429558,-0.04891675
378,-0.92134047,-0.46621174,-0.84078133,-0.05081327
379,-0.9229821,-0.46591404,-0.8399238,-0.05091317
380,-0.9230006,-0.46495366,-0.8384448,-0.05054108
381,-0.92209756,-0.4640162,-0.8374486,-0.04978902
382,-0.919917,-0.46393484,-0.8388524,-0.048365116
383,-0.9009661,-0.45644647,-0.8361515,-0.038721524
384,-0.90945786,-0.46242306,-0.8415816,-0.04349996
385,-0.9163252,-0.46487355,-0.8447728,-0.044069983
386,-0.9260598,-0.46862876,-0.84887576,-0.045790896
387,-0.929958,-0.46913266,-0.8502556,-0.04459636
388,-0.9315984,-0.46844095,-0.85054076,-0.042516902
389,-0.9159937,-0.45899713,-0.8446564,-0.03201539
390,-0.9214021,-0.4604892,-0.84555924,-0.033112824
391,-0.9246713,-0.46091637,-0.8450844,-0.033937477
392,-0.9244617,-0.45971158,-0.84316957,-0.033530243
393,-0.9269607,-0.46021754,-0.8423067,-0.035057366
394,-0.9256563,-0.45925385,-0.840112,-0.035689056
395,-0.89914227,-0.4463081,-0.8294913,-0.024846474
396,-0.90042853,-0.44768357,-0.8286703,-0.028406238
397,-0.90062803,-0.447255,-0.82608616,-0.030428158
398,-0.899246,-0.44607502,-0.8234588,-0.03140512
399,-0.8979349,-0.44567633,-0.82222354,-0.03242351
400,-0.8914199,-0.44407183,-0.82116413,-0.031271003
401,-0.86976624,-0.43430108,-0.81536573,-0.020663923
402,-0.87921166,-0.43868643,-0.8193266,-0.02386157
403,-0.8841863,-0.4425586,-0.82398164,-0.02580993
404,-0.87689275,-0.44467336,-0.8287083,-0.025911117
405,-0.8738383,-0.44570303,-0.83278465,-0.023886392
406,-0.87433404,-0.4478755,-0.83706236,-0.023719886
407,-0.8523577,-0.43698126,-0.8322042,-0.010042965
408,-0.85622466,-0.4395218,-0.8353322,-0.011199262
409,-0.85387355,-0.43761435,-0.834298,-0.008316308
410,-0.85501087,-0.43815216,-0.83426785,-0.009344187
411,-0.85866153,-0.4405402,-0.8350862,-0.013104554
412,-0.86019725,-0.44085974,-0.8343086,-0.014412161
413,-0.83401483,-0.42584896,-0.82327497,0.0006052889
414,-0.840355,-0.42789525,-0.82309175,-0.0028384998
415,-0.8444688,-0.42823005,-0.82036716,-0.0059511513
416,-0.847122,-0.42774785,-0.81745946,-0.007895093
417,-0.84522545,-0.42500895,-0.8141366,-0.005620934
418,-0.845045,-0.42411083,-0.81178284,-0.0062886253
419,-0.81779945,-0.40910298,-0.80028474,0.008967686
420,-0.8152418,-0.40567964,-0.7967225,0.013516784
421,-0.8110859,-0.40334874,-0.7940603,0.016054995
422,-0.8104791,-0.40368855,-0.793651,0.015465502
423,-0.80854523,-0.40568504,-0.7957356,0.0136170965
424,-0.8051659,-0.40863794,-0.7994936,0.011138737
425,-0.77874774,-0.3969917,-0.79360276,0.02470396
426,-0.78596854,-0.40466163,-0.80065954,0.017618576
427,-0.7897962,-0.41236198,-0.80784404,0.010193523
428,-0.78919303,-0.41880423,-0.8133471,0.0032851882
429,-0.78640926,-0.4201688,-0.8146943,0.0017813966
430,-0.7886315,-0.42067477,-0.8149655,0.001288319
431,-0.7609544,-0.40389746,-0.803378,0.019275377
432,-0.7675816,-0.40816045,-0.8052722,0.013787873
433,-0.77403563,-0.41016716,-0.8053485,0.0107863415
434,-0.7736429,-0.40735677,-0.8016165,0.012750415
435,-0.7753557,-0.40529868,-0.7980806,0.013694134
436,-0.77664554,-0.40325046,-0.79514194,0.0149874315
437,-0.75190115,-0.38662317,-0.78288096,0.032282252
438,-0.7602552,-0.38782027,-0.78290284,0.030857284
439,-0.76419085,-0.3874492,-0.7820588,0.031124217
440,-0.76656556,-0.38825893,-0.7822935,0.030060442
441,-0.7685077,-0.38934353,-0.7831739,0.029007012
442,-0.7673837,-0.3882101,-0.782857,0.030691268
443,-0.74009293,-0.37417918,-0.77422535,0.046168145
444,-0.74479413,-0.3812968,-0.77987415,0.038617082
445,-0.74971306,-0.38705128,-0.7843902,0.03259459
446,-0.74976647,-0.39159265,-0.78868425,0.028148346
447,-0.74886465,-0.39637512,-0.7941939,0.024101356
448,-0.7468362,-0.3992415,-0.7980268,0.02199315
449,-0.7190721,-0.3858046,-0.79028285,0.03714142
450,-0.72580093,-0.3916974,-0.79475516,0.030828996
451,-0.73153853,-0.39472178,-0.79640007,0.027300157
452,-0.73141557,-0.39235783,-0.7937608,0.029420389
453,-0.7336748,-0.39164832,-0.79235274,0.029757228
454,-0.735018,-0.3908929,-0.7909776,0.030095812
455,-0.7109829,-0.37311968,-0.77740175,0.04843915
456,-0.7198717,-0.373193,-0.77572554,0.047653936
457,-0.7235261,-0.37128183,-0.7731849,0.049339674
458,-0.725629,-0.37145948,-0.772431,0.048562653
459,-0.72593397,-0.37066746,-0.77138674,0.049140282
460,-0.72559696,-0.37079376,-0.77114856,0.048691314
461,-0.6994243,-0.35628542,-0.76102686,0.06387698
462,-0.70763993,-0.3606177,-0.763892,0.059160933
463,-0.711838,-0.36519635,-0.7679602,0.05479309
464,-0.7127826,-0.3705772,-0.7734881,0.04993447
465,-0.7151906,-0.3767408,-0.77951723,0.044145174
466,-0.71610427,-0.38256824,-0.7857042,0.03883985
467,-0.6911853,-0.36990297,-0.7787397,0.053426925
468,-0.6916773,-0.3702398,-0.78019285,0.054151062
469,-0.69681793,-0.36951387,-0.7803539,0.056372147
470,-0.70526624,-0.36489433,-0.777828,0.06301302
